Entity,Number of data,Hard EM,Soft EM,F1,BEM
"['GPE', 'ORG']",1,0.0,1.0,0.0,1.0
"['PERSON', 'ORG', 'PERSON']",1,0.0,1.0,0.0,1.0
"['ORG', 'PERSON', 'ORG']",1,0.0,1.0,0.0,1.0
"['GPE', 'NORP']",1,1.0,1.0,1.0,0.0
"['NORP', 'GPE', 'NORP', 'GPE']",1,0.0,1.0,0.0,1.0
"['GPE', 'GPE', 'NORP']",1,0.0,1.0,0.0,1.0
"['LANGUAGE', 'PERSON', 'PERSON']",1,0.0,1.0,0.0,1.0
"['GPE', 'PERSON']",2,0.0,0.5,0.0,1.0
"['ORG', 'ORG', 'FAC', 'GPE', 'FAC']",1,1.0,1.0,1.0,0.0
"['PERSON', 'ORG', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.0,1.0
"['ORG', 'ORG', 'PERSON']",1,1.0,0.0,1.0,0.0
"['PERSON', 'PERSON', 'GPE', 'PERSON', 'PERSON', 'PERSON']",1,0.0,1.0,0.0,1.0
"['GPE', 'GPE', 'GPE', 'GPE', 'PERSON', 'GPE', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['LANGUAGE', 'PERSON']",1,0.0,0.0,0.0,0.0
"['ORG', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']",1,1.0,0.0,1.0,0.0
"['PERSON', 'PERSON', 'PERSON', 'DATE']",1,0.0,1.0,0.0,1.0
"['ORG', 'PERSON', 'NORP']",1,0.0,1.0,0.0,1.0
"['QUANTITY', 'GPE', 'FAC']",1,1.0,1.0,1.0,0.0
"['ORDINAL', 'MONEY']",1,1.0,1.0,1.0,1.0
"['LOC', 'GPE', 'GPE', 'GPE', 'FAC', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE']",1,0.0,0.0,0.0,1.0
"['ORG', 'ORG', 'GPE', 'GPE']",1,0.0,1.0,0.0,1.0
"['PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'ORG', 'PERSON', 'PERSON']",1,1.0,1.0,1.0,0.0
"['ORG', 'WORK_OF_ART']",1,1.0,1.0,1.0,1.0
"['ORG', 'FAC']",1,1.0,1.0,1.0,1.0
"['NORP', 'ORG', 'NORP', 'ORG']",1,0.0,1.0,0.0,1.0
"['TIME', 'DATE']",1,0.0,0.0,0.0,1.0
"['CARDINAL', 'FAC']",1,0.0,1.0,1.0,1.0
"['ORG', 'PRODUCT']",1,0.0,0.0,0.0,1.0
"['EVENT', 'DATE']",1,0.0,1.0,0.0,1.0
Overall,3020,0.2009933774834437,0.8274834437086093,0.2052980132450331,0.8403973509933775
